	RE.048	RE.056	RE.064	RE.072	RE.080	RE.088	RE.096	RE.049	RE.065	RE.073	RE.081	RE.089	RE.097	RE.058	RE.074	RE.082	RE.090	RE.098	RE.051	RE.059	RE.075	RE.083	RE.091	RE.099	RE.052	RE.068	RE.076	RE.084	RE.092	RE.053	RE.077	RE.085	RE.093	RE.054	RE.062	RE.078	RE.086	RE.094	RE.102	RE.047	RE.055	RE.071	RE.079	RE.087	RE.095	RE.002	RE.003	RE.004	RE.005	RE.006	RE.007	RE.008	RE.009	RE.010	RE.011	RE.012	RE.013	RE.014	RE.015	RE.016	RE.017	RE.018	RE.019	RE.020	RE.021	RE.022	RE.023
RE.013	0.32919052	0.20476705	-0.02342366	-0.17267701	-0.04668574	0.43967873	-0.26129794	0.035916112	0.059984077	-0.18133831	-0.3791191	0.2717258	-0.07315724	0.14763781	0.11556266	-0.15659516	-0.03015282	-0.2561887	-0.30235037	0.34123632	-0.06320624	-0.20830667	0.2889406	-0.20615456	-0.028938657	-0.26420137	0.40405214	-0.054904006	-0.2396791	0.079035126	0.08104806	-0.2031331	-0.008772219	-0.029330919	-0.2587212	-0.19523332	-0.37413782	0.06119396	-0.086902216	-0.1409257	-0.109327115	0.09925536	-0.399087	-0.41956112	0.026584854	-0.09434234	-0.15126657	-0.24551517	-0.1860566	-0.10689158	0.28702706	-0.11704234	-0.24924935	0.104653895	-0.07870005	-0.13573872	2.488873	-0.030919308	0.27636155	0.33217713	-0.11637344	-0.37143266	0.0118506355	-0.26877987	0.16188855	0.31544185	0.36173353
RE.014	-0.09000304	-0.2122897	-0.10333686	-0.0859966	-0.19350027	-0.16108342	0.030119702	-0.043131396	0.15247154	-0.043882597	0.08814134	0.009633151	-0.08151181	-0.10831156	-0.29065242	-0.03823631	-0.060643908	-0.22691935	0.17481856	0.089504	-0.08754341	0.33776546	-0.11590394	-0.15861204	-0.027467934	0.28938872	-0.116976865	-0.05813505	0.088399105	-0.0628465	-0.23492327	-0.17565513	-0.08811424	0.0974643	0.02054332	0.09289147	0.20558259	-0.0036990603	0.026040634	-0.080501266	-0.004240859	-0.01381718	0.2651856	-0.017240936	0.10151565	0.05451121	-0.0063789096	-0.043696415	-0.080147095	-0.13572952	-0.06711273	-0.13089521	0.17864117	-0.12081234	0.036730696	-0.024535973	-0.030919308	1.7319708	-0.17475885	0.14936627	-0.07987347	0.034404114	-0.18799958	-0.17629203	0.092418045	0.08369681	-0.18687598
RE.015	0.16584419	0.27609426	0.048062887	-0.15368356	-0.109351076	0.15631136	-0.19879267	0.15093355	-0.03811895	-0.16168118	-0.27956536	-0.120664485	-0.13936919	0.12304557	0.017218739	0.016110053	-0.024892682	-0.17538407	-0.20791258	0.08620542	-0.15257129	-0.1711398	0.06584663	-0.095778234	0.07314882	-0.20099333	0.2666244	-0.112014055	-0.14161137	-0.08794464	0.19159968	-0.018275058	0.09036017	-0.021383151	-0.26839525	-0.11748154	-0.11534109	-0.0060624434	-0.068440214	-0.04374187	-0.12120003	0.02396085	-0.3297617	-0.17267753	0.0016203865	-0.003270288	-0.19329853	-0.16120394	-0.30240557	-0.03894483	0.07918374	0.02652114	-0.272807	0.9032011	-0.111168586	-0.068758	0.27636155	-0.17475885	2.1443782	-0.13973765	0.15719436	-0.14455716	-0.04785758	-0.17393199	0.08149803	0.18484873	0.08075454
RE.016	-0.118758485	0.021795897	-0.0731429	0.051469952	-0.07026422	-0.12463311	0.03886599	-0.22466688	0.14491914	7.097796E-5	-0.033667024	0.29332313	0.039274886	-0.22757483	-0.2404436	-0.2591068	-0.04778612	-0.12055225	-0.06301262	0.019099927	0.058381047	-0.10581845	0.008093236	-0.005790767	0.23942274	-0.08027019	0.10261207	-0.09709426	0.001820102	0.19077392	-0.21896783	-0.07921704	0.10205488	-0.23635268	0.36372668	-0.20395875	0.0033189172	0.0175521	-0.1248523	-0.00543347	-0.11675074	0.10265871	-0.24789855	-0.020259393	-0.038037255	-0.08345526	0.06132901	-0.08207032	-0.04735179	0.04800276	0.24305119	-0.14652508	-0.009732891	-0.14730276	0.20901543	-0.23656693	0.33217713	0.14936627	-0.13973765	1.8957295	-0.09014021	-0.048383333	0.0184133	-0.18598971	-0.03717539	-0.09705554	-0.22052138
RE.017	0.16964224	-0.19811666	-0.18497801	0.30760723	-0.22003707	-0.18547331	-0.21405603	0.07754965	-0.22473307	-0.21347256	-0.24573457	-0.046766147	-0.17800257	-0.13804509	0.3094021	0.26067984	-0.3544491	-0.03210303	0.13834979	-0.024816995	-0.06671619	-0.119684964	0.19637187	0.08117268	0.78667605	-0.34577483	-0.025454624	-0.18818179	-0.10347252	-0.18307592	0.062385727	0.6076766	-0.32422906	-0.041036703	-0.07146735	0.8474305	-0.15970047	-0.18868603	-0.30316043	-0.13944352	-0.20990409	-0.2416897	-0.28872207	0.4328437	0.4503156	-0.12561253	-0.28837252	-0.12283821	-0.28861028	0.30248344	0.007986446	-0.20045954	-0.20994419	0.5259803	-0.19156837	-0.07177317	-0.11637344	-0.07987347	0.15719436	-0.09014021	1.7790644	-0.13222773	-0.2655093	-0.033040624	-0.1365997	0.5525657	-0.2392513
RE.018	-0.101903826	-0.20573357	1.586984E-4	-0.07020582	0.14622444	-0.23253977	0.23498502	-0.25198668	-0.24041349	-0.06506682	0.25459468	-0.18348236	0.28154004	0.03227143	-0.11135539	-0.095060095	-0.12899613	0.30905697	0.17305847	-0.0048854775	0.0022767028	-0.013223276	-0.10692264	-0.06224379	-0.29777446	0.22603786	-0.27159157	-0.02770446	0.2325795	-0.17448999	0.04567575	0.052137047	0.08281243	-0.03529897	-0.2218875	-0.13051659	-0.11532247	0.023719281	0.26136622	0.016803179	0.09962263	-0.098522544	0.18823056	0.31077772	-0.09049923	0.10683091	-0.0498777	0.39890906	-0.09699522	-0.2118713	-0.18531652	0.1619989	-0.07018559	-0.15335809	-0.20489818	0.03224843	-0.37143266	0.034404114	-0.14455716	-0.048383333	-0.13222773	1.7626477	-0.25479218	0.36692783	-0.18479742	-0.29007712	-0.10149904
RE.019	-0.11121811	0.17022212	0.10687143	0.371095	0.08630802	0.015154513	-0.0058787786	-0.083211176	0.08833006	-0.014673737	-0.024175862	0.22200914	-0.075114086	-0.15301247	-0.1162334	-0.0834351	-0.16536324	0.042533137	-0.13117145	-0.08976315	0.029017556	-0.25364015	-0.09360382	0.059585124	-0.09962087	-0.24204984	0.032501016	-0.1394251	0.058938958	0.3847034	-0.35167223	-0.15449335	0.03001264	-0.06891207	0.27762496	-0.23796855	0.1345265	-0.113535054	-0.27529103	0.11436869	-0.006610757	-0.016092438	-0.28055188	-0.15052114	-0.04309792	-0.069331065	0.08090741	-0.053704422	0.13575041	-0.006323704	0.44068733	0.02397273	-0.0018447868	-0.1816626	0.24393141	-0.1648967	0.0118506355	-0.18799958	-0.04785758	0.0184133	-0.2655093	-0.25479218	1.8848641	-0.025195444	-0.04951631	-0.14090386	-0.034304697
RE.020	-0.19110897	-0.32577622	0.04389219	-0.117664985	0.034535494	-0.21000223	-0.1379787	-0.10307481	-0.32049817	0.042290453	-0.068445034	-0.12268766	0.109065145	-0.02731936	-0.105995014	0.07305274	-0.12798344	1.2877918	0.045106083	-0.18227124	0.5525008	-0.29148808	-0.102725565	0.16542149	-0.25382406	-0.10010583	-0.41252676	-0.124933764	0.39587116	-0.15629055	-0.26104674	-0.04321467	0.02325522	-0.068902574	-0.19363861	-0.0027841553	-0.027623834	0.2760203	-4.7583677E-4	0.027654927	0.084472984	-0.05618853	0.072351255	0.17659725	-0.028129656	0.14908858	-0.27684265	0.82649994	-0.02472232	-0.1321339	-0.1175027	0.46820128	-0.065186545	-0.33361524	-0.26060113	-0.0795246	-0.26877987	-0.17629203	-0.17393199	-0.18598971	-0.033040624	0.36692783	-0.025195444	1.4029282	-0.16207428	-0.23637827	0.09299099
RE.021	-9.741205E-4	-0.12131142	0.15126003	-0.2606442	-0.05242254	0.3198666	-0.025769018	-0.061558615	0.10902169	0.040553678	-0.06993458	0.04247542	-0.035690725	-0.15418792	-0.025611838	-0.11027518	0.29384446	-0.21410911	-0.09358954	0.13363458	0.06793987	-0.072534025	-0.13008516	0.07869374	-0.13306898	-0.14767738	-0.12137314	0.04628258	0.030258682	-0.18948631	-0.07636435	-0.10063884	0.104705304	-0.11771012	-0.16853335	-0.21602693	-0.09703661	0.06803682	-0.012386844	-0.11802774	0.2063087	-0.12426857	-0.21511002	-0.16874065	0.31834182	-0.096921876	-0.012962341	-0.008083541	0.30760804	0.0552542	0.051487304	0.04965326	-0.08975562	-0.10638453	-0.17770432	-0.29478133	0.16188855	0.092418045	0.08149803	-0.03717539	-0.1365997	-0.18479742	-0.04951631	-0.16207428	2.0061636	0.033520922	-0.058811177
RE.022	0.18550925	-0.018495612	-0.14535661	0.052330595	-0.020047186	0.07444175	-0.24563935	0.19513357	-0.09021195	-0.15021008	-0.32011476	0.16299775	-0.09255039	0.036971215	0.021932745	-0.06040577	-0.26837602	-0.21563335	-0.11081837	0.014511188	-0.026534405	-0.08970036	0.24935275	-0.08077224	0.2834868	-0.22950147	0.4508975	0.03154058	-0.16863513	0.059100524	0.06870013	0.16142434	-0.15646553	-0.057831176	-0.08499331	0.29217494	-0.091243744	-0.09514365	-0.054626882	-0.23495042	-0.28833637	-0.13253537	-0.31406313	-0.0599281	0.20282108	-0.08208612	-0.1552247	-0.11500861	-0.23564579	-0.003921269	0.09261436	-0.24614727	-0.14925967	0.19435285	-0.13853495	-0.16270104	0.31544185	0.08369681	0.18484873	-0.09705554	0.5525657	-0.29007712	-0.14090386	-0.23637827	0.033520922	2.0035229	-0.047825858
RE.023	-0.025355881	0.11051847	-0.063385166	-0.03245425	0.07707909	-0.0049379156	-0.17572431	0.09413724	-0.30431494	-0.2440346	0.014439185	-0.0010704166	-0.22449192	0.23760065	0.10662451	0.17552325	-0.18677649	0.0689746	-0.03164747	-0.16418673	-0.06346413	-0.07485687	0.01205379	0.015373927	-0.16636333	-0.19909231	0.04934091	-0.22334212	-0.10330932	-0.03828284	0.22785932	0.13299331	0.07057255	0.27965343	-0.3305727	-0.24582577	-0.068081334	-0.14435227	-0.14951399	-0.082616255	0.0035493926	0.27177513	-0.12352529	-0.09491255	-0.12070134	0.022445185	0.039274614	-0.1282199	-0.080307126	-0.17568177	-0.15963164	0.42331573	-0.06492806	-0.008570495	-0.20396718	0.2706926	0.36173353	-0.18687598	0.08075454	-0.22052138	-0.2392513	-0.10149904	-0.034304697	0.09299099	-0.058811177	-0.047825858	2.1583123
