	RE.048	RE.056	RE.064	RE.072	RE.080	RE.088	RE.096	RE.049	RE.065	RE.073	RE.081	RE.089	RE.097	RE.058	RE.074	RE.082	RE.090	RE.098	RE.051	RE.059	RE.075	RE.083	RE.091	RE.099	RE.052	RE.068	RE.076	RE.084	RE.092	RE.053	RE.077	RE.085	RE.093	RE.054	RE.062	RE.078	RE.086	RE.094	RE.102	RE.047	RE.055	RE.071	RE.079	RE.087	RE.095	RE.002	RE.003	RE.004	RE.005	RE.006	RE.007	RE.008	RE.009	RE.010	RE.011	RE.012	RE.013	RE.014	RE.015	RE.016	RE.017	RE.018	RE.019	RE.020	RE.021	RE.022	RE.023
RE.003	-0.29827872	-0.13934976	-0.030796692	-0.17172329	0.107903115	-0.19336401	0.11496974	-0.04785047	0.062854454	0.10256274	0.92652863	-0.035540383	0.16453862	-0.1630209	-0.25274512	0.12280827	0.006889961	-0.24316852	0.13660024	-0.23590441	-0.10220482	0.07109593	-0.14150983	-0.098178945	-0.14942767	-0.017484965	0.058385104	0.069587484	0.008560565	-0.04045773	-0.43533355	-0.12851083	0.16783474	-0.13602598	0.15747392	-0.29178688	0.17925306	-0.1714085	0.09432885	-0.037629027	-0.091047116	0.06248532	0.18681511	0.1432295	-0.21822357	-0.14360495	2.1533995	0.0013998392	0.06923601	0.025597274	-0.12320191	-0.16498515	0.008994875	-0.09129959	0.027217276	0.11622616	-0.15126657	-0.0063789096	-0.19329853	0.06132901	-0.28837252	-0.0498777	0.08090741	-0.27684265	-0.012962341	-0.1552247	0.039274614
RE.004	-0.37835285	-0.46499494	0.16725424	-0.18888739	0.40266103	-0.36871538	0.07391216	-0.14225751	-0.23689425	0.44183558	0.0046610045	-0.14868896	0.6450907	-0.004835497	-0.20388193	-0.06215895	0.0018549169	0.7520445	-0.034832876	-0.01848284	0.32188052	-0.2559972	-0.12230781	0.11287132	-0.29031116	-0.2621953	-0.3349006	0.22837026	0.4849058	-0.24615392	-0.41118085	-0.1889325	0.17258836	-0.33195874	-0.18039884	-0.11023456	-0.12889238	0.27559495	0.013969774	-0.083303116	-0.048966274	-0.18739837	0.018534202	0.11414248	-0.061675306	0.17974715	0.0013998392	1.6370806	0.1274431	0.14032713	-0.2352998	0.26853374	-0.26311454	-0.2895543	-0.35704798	-0.20896432	-0.24551517	-0.043696415	-0.16120394	-0.08207032	-0.12283821	0.39890906	-0.053704422	0.82649994	-0.008083541	-0.11500861	-0.1282199
RE.005	-0.0238994	-0.2476608	0.30304524	-0.16828063	0.12646727	-0.06491417	0.5832511	-0.16462135	-0.06674161	0.46102098	0.0649777	-0.037168603	0.10507924	-0.1888058	-0.1799372	-0.12871397	0.34907126	-0.060023338	0.17059293	-0.14711967	0.1346112	0.019274076	-0.16831405	0.5033602	-0.24900733	-0.118360735	-0.25266877	0.20099586	0.07597041	-0.26549262	-0.22361898	-0.0602588	-0.06692813	-0.09181537	-0.11219112	-0.2927617	-0.2704725	0.3175974	0.0885878	-0.19658916	0.17589618	-0.20497994	-0.09890554	0.0030332708	0.025125507	-0.09148195	0.06923601	0.1274431	1.8898568	0.5357721	-0.26876786	0.018826831	-0.087483585	-0.2645884	-0.2523663	-0.3352705	-0.1860566	-0.080147095	-0.30240557	-0.04735179	-0.28861028	-0.09699522	0.13575041	-0.02472232	0.30760804	-0.23564579	-0.080307126
RE.006	-0.1934818	-0.3167308	0.08241473	-0.018237464	0.17517726	-0.27646282	0.19099422	-0.02924528	-0.0062190793	0.1804975	-0.053867128	-0.088916026	0.005951339	-0.1623583	0.3341569	-0.05457375	0.03432403	-0.12652974	-0.096621506	0.1580921	-0.08144061	-0.038310416	-0.06131096	0.9791525	0.06599909	-0.25846773	-0.17654574	-0.02566968	0.08738273	-0.3985438	-0.11106672	0.16217828	-0.01135917	-0.27754027	-0.08221018	0.090626985	-0.2981014	0.15079217	-0.09721846	-0.2891958	-0.10279445	-0.18424052	-0.23665188	0.06696744	0.063726544	-0.0011478935	0.025597274	0.14032713	0.5357721	1.8267574	-0.2793068	0.013849784	-0.3129661	0.31941304	-0.27950367	-0.25755668	-0.10689158	-0.13572952	-0.03894483	0.04800276	0.30248344	-0.2118713	-0.006323704	-0.1321339	0.0552542	-0.003921269	-0.17568177
RE.007	0.23631476	0.19329531	-0.030366022	-0.06007111	-0.17004986	0.29296023	-0.19649746	0.093157366	0.0050350134	-0.21081814	-0.2050043	0.42508528	-0.07936673	0.0099952845	-0.09345048	-0.11919556	-0.17024112	-0.110003576	-0.18112312	0.06252369	-0.008961337	-0.16594245	0.05000544	-0.28018323	0.25911066	-0.11498904	0.12615128	-0.20764783	-0.061390165	0.30284497	-0.11475655	-0.13615143	-0.08136685	0.09184095	0.2728881	-0.22142375	0.020362196	-0.08860972	-0.2203443	0.051782105	-0.043447312	0.026521986	-0.3940162	-0.18714415	0.02805974	-0.033052094	-0.12320191	-0.2352998	-0.26876786	-0.2793068	2.001103	-0.14976428	-0.011836024	-0.02244373	0.1269882	-0.27226472	0.28702706	-0.06711273	0.07918374	0.24305119	0.007986446	-0.18531652	0.44068733	-0.1175027	0.051487304	0.09261436	-0.15963164
RE.008	-0.16853805	-0.2631705	0.18968743	-0.1321571	0.22139223	-0.14162827	-0.078577526	-0.057862956	-0.17517579	-0.11405718	-0.13659921	-0.122514024	-0.05890386	-0.0037901038	0.12448935	-0.05145028	-0.05277827	0.42335907	0.10036212	0.07581755	0.3066342	-0.26942527	-0.17225575	0.21849027	-0.29133147	-0.14858802	-0.34308687	0.042765096	0.13430157	-0.2217911	-0.26706657	-0.09724662	0.07314192	-0.07352483	-0.38445213	-0.24682239	-0.038700745	0.12943658	0.051694058	0.36953002	0.18739691	0.05825081	-0.0017075045	0.042675365	-0.1965517	0.105125956	-0.16498515	0.26853374	0.018826831	0.013849784	-0.14976428	1.8184807	-0.043626897	-0.12937821	-0.3293969	-0.15992814	-0.11704234	-0.13089521	0.02652114	-0.14652508	-0.20045954	0.1619989	0.02397273	0.46820128	0.04965326	-0.24614727	0.42331573
RE.009	0.0052507836	0.26654166	-0.11836168	0.13573028	-0.18232602	0.16276264	-0.038709953	-0.16450448	0.19235608	-0.17409424	-0.037121966	0.15731615	-0.20400283	-0.21205029	-0.07668158	-0.16061206	-0.028937012	-0.091245845	0.09975375	-0.17311788	-0.11235579	-0.0013354234	0.031018749	-0.18440029	-0.03581513	0.059312835	-0.023973314	-0.036890656	-0.1672777	0.22179984	0.048894953	-0.16289957	-0.29682565	0.10700643	0.3030235	-0.12919578	0.38940263	-0.10393942	-0.037550416	0.12368621	0.035536926	0.1082819	0.04112601	-0.06570765	-0.052595932	-0.0134791285	0.008994875	-0.26311454	-0.087483585	-0.3129661	-0.011836024	-0.043626897	1.7528398	-0.21537976	0.78331596	-0.009285472	-0.24924935	0.17864117	-0.272807	-0.009732891	-0.20994419	-0.07018559	-0.0018447868	-0.065186545	-0.08975562	-0.14925967	-0.06492806
RE.010	0.0375137	0.0971593	-0.0354011	-0.027504917	-0.19844906	-0.048255686	-0.11876938	0.16254754	-0.1117297	-0.23634636	-0.21079308	-0.1554505	-0.13754432	0.13464631	0.45200136	0.12685882	-0.14654863	-0.3320839	-0.0367458	0.16339311	-0.36920562	0.05842708	0.121957995	0.09428083	0.30587298	-0.27491713	0.0964583	-0.1952125	-0.24448018	-0.1543337	0.23543131	0.108329594	-0.22296932	9.97793E-4	-0.16121219	0.19598348	-0.0357633	-0.184069	-0.123640604	-0.13411336	-0.11265651	0.05508931	-0.23665501	-0.063129015	0.020657573	-0.09207817	-0.09129959	-0.2895543	-0.2645884	0.31941304	-0.02244373	-0.12937821	-0.21537976	2.03217	-0.115829855	0.032861523	0.104653895	-0.12081234	0.9032011	-0.14730276	0.5259803	-0.15335809	-0.1816626	-0.33361524	-0.10638453	0.19435285	-0.008570495
RE.011	0.07148438	0.89458036	-0.1982582	0.17832814	-0.2680051	0.1633882	-0.1506712	-0.12710977	0.6959218	-0.07198268	-0.09587384	0.11738048	-0.12114725	-0.1413144	-0.13555764	-0.27112457	-0.12285865	-0.19981909	-0.18201454	-0.18171097	-0.2062704	-0.036225043	0.14180663	-0.29329294	0.07664527	-0.08843916	0.1267597	-0.09330866	-0.20318697	0.55014825	0.05698725	-0.12585671	-0.07498106	-0.1624742	0.44763917	-0.21776946	0.5528805	-0.28019345	-0.13792026	0.15782163	-0.17504302	-0.0036278968	-0.12712298	-0.1218709	-0.20386839	-0.079223186	0.027217276	-0.35704798	-0.2523663	-0.27950367	0.1269882	-0.3293969	0.78331596	-0.115829855	1.9522959	-0.011856101	-0.07870005	0.036730696	-0.111168586	0.20901543	-0.19156837	-0.20489818	0.24393141	-0.26060113	-0.17770432	-0.13853495	-0.20396718
RE.012	-0.06805674	0.11589275	-0.22234835	0.10233289	-0.17722303	-0.03083518	0.016281659	0.06656327	-0.23934981	-0.16525964	0.21330777	-0.23411888	-0.28930253	0.067342825	0.086216465	0.48643622	-0.28656355	-0.07904578	0.0254411	-0.38670722	-0.28866887	0.37375188	-0.080548726	-0.1824423	-0.04409762	0.35469744	-0.086548254	-0.36781427	-0.17228484	-0.18734427	0.009739918	0.28802925	-0.18946622	0.22909735	-0.01555799	0.5780222	0.11977985	-0.41114882	0.15654075	-0.06943773	-0.18195944	0.102687776	1.1263351	-0.011385747	-0.013819854	-0.028323308	0.11622616	-0.20896432	-0.3352705	-0.25755668	-0.27226472	-0.15992814	-0.009285472	0.032861523	-0.011856101	2.0335352	-0.13573872	-0.024535973	-0.068758	-0.23656693	-0.07177317	0.03224843	-0.1648967	-0.0795246	-0.29478133	-0.16270104	0.2706926
